seed,x0_equation,x0_test_drift_mse
0,-0.828*x0*(x0*(x0 + 0.116) - 1.52),0.7400548458099365
1,-0.572*(x0 + 0.177)*(x0**2 - 1.5),2.2141244411468506
2,-0.808*x0*(x0**2 - 1.68),1.0108810663223267
3,-0.713*(-0.0371*x0**2 + x0)*(x0**2 - 1.61),1.4386143684387207
4,(-0.446*x0 - 0.566)*(x0 - 1.23)*(x0 + 0.368),3.411101818084717
5,(1.26 - 0.73*x0**2)*(x0 + 0.185),1.4897124767303467
6,-0.698*x0*(x0**2 - 1.63),1.503159999847412
7,-0.686*x0*(x0*(x0 - 0.193) - 1.65),1.6434996128082275
8,x0*(0.719 - 0.52*x0**2),2.5005764961242676
9,(0.0284*x0**2 - 0.649*x0)*(x0**2 - 1.73),1.9930591583251953
