seed,x0_equation,x0_test_drift_mse
0,-0.852*x0*(x0**2 - 1.06) - 0.177,0.2611643970012665
1,-0.599*x0*(x0**2 - 0.827),1.364051103591919
2,x0*(1.07 - 0.86*x0**2),0.3288671374320984
3,x0*(0.708 - 0.711*x0**2),0.7748032212257385
4,-0.447*x0*(x0 - 0.597)*(x0 + 1.07) + 0.36,2.6538944244384766
5,(-0.728*x0 - 0.201)*(x0**2 - 1.23),0.9291039109230042
6,-0.709*x0*(x0**2 - 1.05),0.8206425309181213
7,-0.693*x0*(x0 - 1.13)*(x0 + 0.908),0.957214891910553
8,x0*(0.244 - 0.519*x0**2),1.7899143695831299
9,x0*(0.712 - 0.642*x0**2),1.276733160018921
