seed,x0_equation,x0_test_drift_mse
0,-1.05*x0 + x19*(x1 - 0.99*x18) + 4.11,0.020594002678990364
1,-1.09*x0 + x19*(x1 - 1.01*x18 + 0.0399) + 4.17,0.030794017016887665
2,-1.09*x0 + x19*(x1 - 0.992*x18) + 4.16,0.03869631886482239
3,-1.05*x0 + x19*(x1 - 0.988*x18) + 4.12,0.025319073349237442
4,-1.15*x0 + x19*(x1 - 0.991*x18) + 4.2,0.10295268148183823
5,-1.06*x0 + 0.031*x16 + x19*(x1 - 0.985*x18) + 4.07,0.02922547608613968
6,-1.06*x0 + x19*(x1 - 1.0*x18) + 4.17,0.021056994795799255
7,-1.08*x0 + x19*(x1 - 0.997*x18) + 4.15,0.0265407245606184
8,-1.11*x0 + x1*x19 - 0.994*x18*x19 + 4.11,0.05896971374750137
9,-1.06*x0 + x19*(x1 - 0.991*x18) + 4.09,0.02144785411655903
