seed,x0_equation,x0_test_drift_mse
0,-1.06*x0 + x9*(x1 - 0.984*x8) + 4.08,0.026170019060373306
1,-1.1*x0 + x9*(x1 - 0.986*x8) + 4.14,0.04871418699622154
2,-0.0611*x0*x8 - 0.979*x0 + x1*x9 - 0.979*x8*x9 + 3.96,0.07525727897882462
3,-1.09*x0 + x9*(x1 - 0.985*x8) + 4.12,0.04454980045557022
4,-1.1*x0 + x9*(x1 - 0.997*x8) + 4.15,0.039395276457071304
5,-1.1*x0 + x9*(x1 - 0.973*x8) + 4.08,0.06962995231151581
6,0.041*x0*x6 - 1.14*x0 + x9*(x1 - 0.989*x8) + 4.12,0.08403504639863968
7,-1.16*x0 + (x1 - 0.981*x8)*(x9 + 0.0544) + 4.12,0.09337090700864792
8,-1.01*x0 + x9*(-0.0144*x0*x9 + x1 - 0.984*x8) + 4.13,0.1325165033340454
9,-1.12*x0 + 1.04*x9*(x1 - 0.956*x8) + 4.12,0.08266884088516235
