seed,equations,test_drift_mse
0,"[x0*(1.18 - 0.433*x1), (x0 - 3.84)*(0.0837*x1 + 0.084)]",0.38907936215400696
1,"[-0.433*x0*(x1 - 2.66), (0.0147*x0 + x1)*(0.0956*x0 - 0.384)]",0.37871053814888
2,"[x0*(1.22 - 0.428*x1), (x1 - 0.239)*(-0.0112*x0*x1 + 0.174*x0 - 0.378)]",2.2366280555725098
3,"[-0.411*x0*(x1 - 2.72), (0.0921*x0 - 0.4)*(0.0258*x0 + x1 - 0.179)]",0.11117351055145264
4,"[(1.34 - 0.468*x1)*(x0 - 0.243), (x0 - 3.8)*(0.0984*x1 + 0.0712)]",1.2000631093978882
5,"[-0.399*x0*(x1 - 2.63), 0.103*x1*(x0 - 4.12)]",0.06745170801877975
6,"[-0.408*x0*(x1 - 2.79), 0.156*(x0 - 3.92)*(-0.0482*x1**2 + x1)]",0.6697280406951904
7,"[-0.41*x0*(x1 - 2.7), (x0 - 3.73)*(0.0987*x1 + 0.0498)]",0.09249736368656158
8,"[x0*(1.16 - 0.423*x1), 0.0922*(0.0129*x0 + x1)*(x0 - 3.88)]",0.16840535402297974
9,"[(1.29 - 0.497*x1)*(-0.0128*x0*x1 + x0), 0.0901*x0*x1 + 0.0493*x0 - 0.297*x1 - 0.252]",0.8214168548583984
