seed,x0_equation,x0_test_drift_mse,x1_equation,x1_test_drift_mse
0,-0.327*x0*(x1 - 2.03),5.770114898681641,x1*(0.0798*x0 - 0.375),0.367420494556427
1,-0.252*x0*(x1 - 1.79),14.583799362182617,0.224*x0 + 0.224*x1*(0.135*x0 - 1.22) - 0.528,2.1747970581054688
2,-0.275*x0*(x1 - 1.82),11.600502967834473,0.232*x0 + 0.232*x1*(0.101*x0 - 1.15) - 0.379,2.6140687465667725
3,-0.287*x0*(x1 - 1.96),9.416747093200684,0.218*x0 + 0.218*x1*(0.169*x0 - 1.74) - 0.157,2.0991742610931396
4,(-0.249*x0 - 0.144)*(x1 - 1.46) + 1.51,15.00932502746582,-0.348*x0*(-0.133*x1 - 0.528) - 0.348*x1,1.4742563962936401
5,-0.337*x0*(x1 - 2.16),4.237648963928223,0.157*x0 + 0.157*x1*(0.319*x0 - 2.34) - 0.156,1.2392618656158447
6,-0.272*x0*(x1 - 1.71),12.83859634399414,0.0441*x0*x1 + 0.189*x0 - 0.355*x1,1.5999729633331299
7,x0*(0.49 - 0.28*x1),11.720392227172852,0.0869*x1*(x0 - 4.77),0.2043120115995407
8,-0.265*x0*(0.0968*x0 + x1 - 3.95),28.93844985961914,0.227*x0 + 0.227*x1*(0.176*x0 - 1.6) - 0.286,1.9149785041809082
9,-0.412*x0*(1.48 - 0.0768*x1)*(x1 - 1.88),26.97384262084961,0.262*x0 + 0.0921*x1*(0.242*x0 - 2.41) - 0.662,2.640681266784668
