seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse,x1_equation,x1_test_drift_mse,x1_test_diffusion_mse
0,"[x0*(1.08 - 0.391*x1), 0.00316 - 0.2*x0]",0.05306309834122658,8.533053915016353e-06,"[0.1*x1*(x0 - 3.64), 0.207*x1 - 0.00856]",0.025057628750801086,0.000585374073125422
1,"[-0.386*x0*x1 + 1.11*x0, 0.00329 - 0.19*x0]",0.31146496534347534,0.006593216676265001,"[0.102*x0*x1 - 0.353*x1, 0.00868 - 0.205*x1]",0.05556202679872513,0.00024611648404970765
2,"[x0*(1.07 - 0.386*x1), 0.195*x0 - 0.0045]",0.1145031601190567,0.0017301555490121245,"[0.103*x0*x1 - 0.374*x1, 0.208*x1 - 0.00895]",0.029905352741479874,0.0009364833822473884
3,"[x0*(1.12 - 0.398*x1), 0.00505 - 0.196*x0]",0.0627683475613594,0.0009519900195300579,"[0.102*x1*(x0 - 3.74), 0.00813 - 0.204*x1]",0.016105813905596733,0.000161917952937074
4,"[-0.383*x0*(x1 - 2.89), 0.199*x0 - 0.00285]",0.37554723024368286,6.403413863154128e-05,"[0.106*x1*(x0 - 3.86), 0.00573 - 0.2*x1]",0.0341651476919651,3.0520975997205824e-05
5,"[x0*(1.11 - 0.394*x1), 0.00468 - 0.199*x0]",0.07423066347837448,0.00018441946303937584,"[x1*(0.101*x0 - 0.368), 0.204*x1 - 0.00995]",0.0269763246178627,0.00013200017565395683
6,"[-0.382*x0*(x1 - 2.77), 0.196*x0 - 0.00387]",0.1994733065366745,0.0012068368960171938,"[x1*(0.0961*x0 - 0.372), 0.207*x1 - 0.00835]",0.01680895872414112,0.0005952170467935503
7,"[-0.396*x0*(x1 - 2.91), 0.195*x0 - 0.00281]",0.2679649889469147,0.0014708103844895959,"[x1*(0.104*x0 - 0.387), 0.00981 - 0.204*x1]",0.022613856941461563,0.00020527579181361943
8,"[-0.403*x0*(x1 - 2.85), 0.00385 - 0.197*x0]",0.10032626986503601,0.0006252115126699209,"[0.103*x1*(x0 - 3.81), 0.0103 - 0.208*x1]",0.014732657931745052,0.0008187827188521624
9,"[x0*(1.13 - 0.392*x1), 0.199*x0 - 0.00382]",0.1728070080280304,0.00012381572742015123,"[x1*(0.0995*x0 - 0.365), 0.208*x1 - 0.0092]",0.020791521295905113,0.000756454945076257
