seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[-0.97*x0 + x1*x9 - 0.97*x8*x9 + 4.04, -0.205*x0 - 0.0079*x1]",0.05589498206973076,0.000750012812204659
1,"[-1.12*x0 + 0.0569*x1 + x9*(x1 - 0.989*x8 + 0.0523) + 3.94, -0.207*x0]",0.06791526824235916,0.0003077031869906932
2,"[x9*(x1 - 0.979*x8) + 3.91, 0.255*x0 - 0.00238*x3*x4]",6.064863204956055,0.018237967044115067
3,"[-1.06*x0 + 0.0873*x1 + x9*(x1 - 0.962*x8) + 3.95, -0.206*x0]",0.07149775326251984,0.00025769404601305723
4,"[-1.15*x0 - 0.0466*x1*x8 + x9*(x1 - 0.994*x8) + 4.11, -0.201*x0]",0.14196237921714783,2.896367504945374e-06
5,"[-1.09*x0 + x1*x9 - 0.975*x8*x9 + 3.99, -0.21*x0]",0.06359327584505081,0.0006181884673424065
6,"[-1.07*x0 + x9*(x1 - 0.976*x8) + 4.0, -0.207*x0 + 0.00712*x9]",0.04194677621126175,0.00034065256477333605
7,"[-0.906*x0 + x9*(x1 - 0.98*x8) + 3.88, -0.0527*x0**2 - 0.12]",0.04948817566037178,0.025238940492272377
8,"[-1.1*x0 + (x1 - 0.975*x8)*(x9 + 0.0251) + 4.08, -0.00506*x0**2 + 0.225*x0 - 0.00506*x5 - 0.00506*x9]",0.04820471629500389,0.0011111745843663812
9,"[-1.16*x0 + 0.101*x1 + x9*(x1 - 0.988*x8 + 0.0905) + 3.93, -0.203*x0 - 0.00602*x1]",0.11475548893213272,0.0003440585860516876
