seed,equations,test_drift_mse,test_diffusion_mse
0,"[-0.393*x0*(x1 - 2.87), 0.106*x1*(x0 - 3.63), 0.208*x0, -0.205*x1]",0.11009744554758072,0.002552648773416877
1,"[-0.385*x0*(x1 - 2.86), 0.108*x1*(x0 - 3.58), -0.204*x0, 0.00485*x0*x1 + 0.185*x1]",0.16621387004852295,0.010773644782602787
2,"[x0*(1.09 - 0.38*x1), x1*(0.106*x0 - 0.423), -0.203*x0, -0.00292*x0*x1 - 0.191*x1]",0.19900871813297272,0.003909348044544458
3,"[x0*(1.13 - 0.394*x1), x1*(0.105*x0 - 0.404), -0.2*x0, 0.202*x1]",0.09289246797561646,6.003169983159751e-05
4,"[x0*(1.1 - 0.386*x1), 0.105*x1*(x0 - 3.69), 0.21*x0, 0.00274*x0*x1 + 0.19*x1]",0.14428065717220306,0.0065877134911715984
5,"[-0.398*x0*(x1 - 2.85), 0.103*x1*(x0 - 3.82), 0.206*x0, -0.202*x1]",0.060335673391819,0.0012769296299666166
6,"[-0.39*x0*(x1 - 2.94), 0.104*x1*(x0 - 3.65), -0.205*x0, -0.194*x1]",0.22711420059204102,0.0012254228349775076
7,"[x0*(1.1 - 0.379*x1), 0.104*x1*(x0 - 3.66), 0.201*x0, 0.00347*x0*x1 + 0.194*x1]",0.2338612973690033,0.005559003911912441
8,"[x0*(1.11 - 0.383*x1), 0.103*x1*(x0 - 3.67), -0.205*x0, -0.203*x1]",0.18103057146072388,0.00079952651867643
9,"[x0*(1.11 - 0.391*x1), 0.103*x1*(x0 - 3.83), -0.202*x0, -0.0045*x0*x1 - 0.185*x1]",0.0691307857632637,0.008783812634646893
