seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[0.087 + 1.220x**1 -1.013x**3, 0.507 + 0.460x**2]",0.04301691800355911,0.003900938667356968
1,"[1.120x**1 -0.911x**3, 0.491 + 0.494x**2]",0.22674770653247833,0.0003174992452841252
2,"[1.410x**1 -1.059x**3, 0.503 + 0.469x**2]",0.10464484244585037,0.002434612950310111
3,"[1.140x**1 -0.710x**3, 0.503 + 0.473x**2]",1.8596467971801758,0.0017969345208257437
4,"[1.384x**1 -0.896x**3, 0.519 + 0.467x**2]",0.5767563581466675,0.0020808253902941942
5,"[1.178x**1 -0.948x**3, 0.511 + 0.479x**2]",0.13383719325065613,0.0008831993909552693
6,"[1.311x**1 -1.003x**3, 0.497 + 0.499x**2]",0.09304530918598175,1.4325344636745285e-05
7,"[1.597x**1 -1.044x**3, 0.508 + 0.487x**2]",0.2551310956478119,0.00031109381234273314
8,"[1.023x**1 -0.649x**3, 0.510 + 0.464x**2]",2.404306650161743,0.0030147337820380926
9,"[1.416x**1 -0.924x**3, 0.507 + 0.477x**2]",0.46229904890060425,0.0012167635140940547
