seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse,x1_equation,x1_test_drift_mse,x1_test_diffusion_mse
0,"[1.157x0 -0.400x0x1, 0.242x0]",0.18383637070655823,0.10624389350414276,"[-0.110 -0.217x1 + 0.096x0x1, 0.200x1]",0.4467964768409729,1.4045666603124118e-06
1,"[1.069x0 -0.385x0x1, 0.286 + 0.243x0]",0.12491746246814728,0.2782319486141205,"[-0.328x1 + 0.089x0x1, 0.210x1]",0.1247747614979744,0.001815230119973421
2,"[1.052x0 -0.396x0x1, 0.069 + 0.153x0]",0.08224789053201675,0.10992472618818283,"[-0.406x1 + 0.103x0x1, 0.204x1]",0.007877473719418049,0.0002900819235946983
3,"[1.043x0 -0.382x0x1, 0.212x0]",0.17018994688987732,0.008280886337161064,"[-0.378x1 + 0.101x0x1, 0.199x1]",0.01331343688070774,1.878811963251792e-05
4,"[1.099x0 -0.390x0x1, 0.091 + 0.173x0]",0.10514797270298004,0.03302156180143356,"[-0.458x1 + 0.116x0x1, 0.208x1]",0.19969554245471954,0.0013205910800024867
5,"[1.014x0 -0.360x0x1, 0.115 + 0.202x0]",0.9223164916038513,0.015091512352228165,"[0.114 -0.426x1 + 0.096x0x1, 0.201x1]",0.02605048380792141,1.8923865354736336e-05
6,"[0.353 + 1.106x0 -0.395x0x1, 0.072 + 0.181x0]",0.21937882900238037,0.01644991710782051,"[-0.380x1 + 0.094x0x1, 0.202x1]",0.024937942624092102,7.925068348413333e-05
7,"[-0.183 + 1.145x0 + 0.066x1 -0.386x0x1, 0.090 + 0.223x0]",0.6423020958900452,0.05316678434610367,"[-0.433x1 + 0.103x0x1, 0.198x1]",0.016551820561289787,9.422042057849467e-05
8,"[1.085x0 + 0.067x1 -0.385x0x1, 0.079 + 0.229x0]",0.34898969531059265,0.07333710044622421,"[-0.337x1 + 0.076x0x1, 0.197x1]",0.4864225387573242,0.00017525545263197273
9,"[1.086x0 -0.378x0x1, 0.068 + 0.236x0]",0.4196942150592804,0.10041002184152603,"[-0.347x1 + 0.090x0x1, 0.206x1]",0.08904857933521271,0.000579568964894861
