seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse,x1_equation,x1_test_drift_mse,x1_test_diffusion_mse
0,"[1.113x0 -0.393x0x1, 0.195x0]",0.08325182646512985,0.0012541577452793717,"[-0.316x1 + 0.086x0x1, 0.199x1]",0.17389746010303497,7.1815697992860805e-06
1,"[1.108x0 -0.399x0x1, 0.202x0]",0.008956130594015121,0.0002724801597651094,"[-0.385x1 + 0.101x0x1, 0.200x1]",0.007098661735653877,1.1435799933678936e-06
2,"[0.181 + 1.115x0 -0.398x0x1, 0.201x0]",0.09053736925125122,1.7730515537550673e-05,"[-0.374x1 + 0.102x0x1, 0.200x1]",0.020610174164175987,8.775267623661875e-09
3,"[0.232 + 1.066x0 -0.390x0x1, 0.199x0]",0.10626792907714844,5.206038986216299e-05,"[-0.402x1 + 0.102x0x1, 0.200x1]",0.0022813575342297554,3.4682798286667094e-06
4,"[1.108x0 -0.406x0x1, 0.197x0]",0.02364993467926979,0.000702655001077801,"[-0.073 -0.371x1 + 0.097x0x1, 0.201x1]",0.010373159311711788,5.4930997066549025e-06
5,"[1.193x0 -0.400x0x1, 0.200x0]",0.5084484219551086,2.7607613901636796e-06,"[-0.383x1 + 0.095x0x1, 0.200x1]",0.01741609536111355,2.3553350274596596e-06
6,"[1.078x0 -0.386x0x1, 0.198x0]",0.12678982317447662,0.00016276759561151266,"[-0.416x1 + 0.105x0x1, 0.199x1]",0.02097553014755249,5.79661946176202e-06
7,"[1.130x0 -0.380x0x1, 0.203x0]",0.6675541996955872,0.0005397134809754789,"[-0.364x1 + 0.097x0x1, 0.199x1]",0.02026178315281868,1.1435224223532714e-05
8,"[1.060x0 -0.390x0x1, 0.203x0]",0.06125231832265854,0.0005175163387320936,"[-0.388x1 + 0.103x0x1, 0.200x1]",0.015096552670001984,4.6604864678556623e-07
9,"[1.148x0 -0.409x0x1, 0.201x0]",0.07087584584951401,6.907244096510112e-05,"[-0.061 -0.394x1 + 0.098x0x1, 0.201x1]",0.007201010826975107,1.1461110261734575e-05
