seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[x0*(1.05 - 0.85*x0)*(x0 + 1.28), -0.46*x0**2 - 0.557]",0.7166454195976257,0.0027973875403404236
1,"[x0*(1.23 - 0.74*x0**2), 0.442*x0**2 + 0.558]",1.3154840469360352,0.005351691506803036
2,"[-0.78*x0*(x0**2 - 1.66), 0.451*x0**2 + 0.553]",1.1008672714233398,0.0038285357877612114
3,"[-0.778*x0*(x0**2 - 1.61), -0.451*x0**2 - 0.549]",1.051292061805725,0.003933596890419722
4,"[-0.694*x0*(x0**2 - 1.83), 0.456*x0**2 + 0.557]",1.811095118522644,0.0032675382681190968
5,"[-0.74*x0**3 + 1.27*x0, -0.468*x0**2 - 0.546]",1.3866112232208252,0.0017860019579529762
6,"[x0*(1.18 - 0.714*x0**2), 0.456*x0**2 + 0.553]",1.4439888000488281,0.0032084020785987377
7,"[x0*(1.17 - 0.689*x0**2), -0.456*x0**2 - 0.555]",1.6495566368103027,0.0031776034738868475
8,"[x0*(1.1 - 0.689*x0**2), 0.453*x0**2 + 0.554]",1.5023233890533447,0.0036380710080266
9,"[x0*(1.19 - 0.683*x0**2), -0.454*x0**2 - 0.552]",1.7368218898773193,0.003375186352059245
