seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[(-1.15*x0 - 0.5)*(x0*(x0 - 0.954) + 6.51), -0.191*x0*(0.958 - 0.188*x0**2) - 4.8]",81.83353424072266,14.64528751373291
1,"[x0*(-0.803*x0**2 - 7.39) + 0.901, -4.84]",66.75660705566406,14.920512199401855
2,"[(x0 + 0.446)*(-1.07*x0*(x0 - 1.17) - 7.08), 4.81]",68.78125,14.677096366882324
3,"[-0.978*x0*(x0**2 + 7.16), -4.88]",66.7221450805664,15.277565002441406
4,"[-0.467*x0**2*(x0 + 1.24) - 7.93*x0 + 2.44, 4.90]",66.3126220703125,15.38818359375
5,"[1.11 - 9.88*x0, -4.83]",80.77547454833984,14.85973072052002
6,"[x0*(-0.758*x0**2 - 7.63), 4.79]",68.07056427001953,14.53573989868164
7,"[(0.165 - 1.06*x0)*(x0**2 + 6.74), 0.027*x0**2*(x0**2 - 5.58) + 4.92]",74.71749877929688,14.880252838134766
8,"[x0*(-0.519*x0**2 - 9.15), 4.88]",85.22579193115234,15.221783638000488
9,"[x0*(-0.704*x0**2 - 7.49), -4.87]",63.53888702392578,15.187480926513672
