seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[0.345x1 -0.161x4 + 0.359x6 -0.463x9 + 0.063x0x1 -0.094x0x2 -0.072x0x6 -0.091x0x8 + 0.193x1x4 + 0.411x1x9 + 0.067x2x2 + 0.098x3x7 -0.104x3x9 -0.092x4x7 -0.083x4x9 -0.086x5x7 + 0.062x6x7 -0.054x7x8 + 0.090x7x9 + 0.126x8x8 -0.390x8x9, 0.744]",4.560452461242676,0.1957567036151886
1,"[0.583x1 + 0.209x6 -0.377x9 -0.070x0x2 -0.087x0x3 -0.059x1x1 + 0.168x1x4 -0.092x1x8 + 0.496x1x9 + 0.074x2x6 + 0.070x2x9 + 0.110x3x7 -0.138x4x7 -0.106x4x9 + 0.179x8x8 -0.537x8x9, 0.728]",3.826237440109253,0.18522056937217712
2,"[0.233x1 + 0.792x6 + 0.947x8 -0.332x9 + 0.548x1x9 + 0.124x3x7 -0.201x4x9 -0.135x6x8 -0.114x7x8 -0.547x8x9, 0.753]",4.280830383300781,0.20184838771820068
3,"[2.798 -0.391x0 -0.331x4 + 0.440x6 -0.844x9 + 0.658x1x9 -0.472x8x9, 0.748]",4.030704498291016,0.19835132360458374
4,"[2.253 -0.408x0 + 0.207x1 + 0.355x6 -1.151x9 + 0.709x1x9 -0.457x8x9, 0.750]",3.9152443408966064,0.19999659061431885
5,"[1.405 + 0.720x1 + 0.399x6 + 0.343x8 -0.854x9 -0.192x0x8 -0.160x1x1 + 0.643x1x9 -0.508x8x9, 0.756]",3.1481401920318604,0.20419833064079285
6,"[1.490 -0.423x0 + 0.272x1 + 0.520x6 + 0.247x8 -0.843x9 + 0.663x1x9 -0.500x8x9, 0.751]",3.893397569656372,0.2010529786348343
7,"[2.866 -0.394x0 + 0.257x1 -0.318x4 -0.877x9 + 0.708x1x9 -0.452x8x9, 0.745]",3.5681183338165283,0.19684450328350067
8,"[3.238 -0.412x0 -0.273x4 + 0.374x6 -1.165x9 + 0.838x1x9 -0.407x8x9, 0.765]",4.155146598815918,0.2105422019958496
9,"[1.308 + 0.452x6 + 0.461x8 -1.261x9 -0.251x0x8 + 0.741x1x9 -0.418x8x9, 0.724]",3.7852354049682617,0.18236257135868073
