seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[3.855 -1.026x0 + 0.958x1x4 -0.977x3x4, 0.516]",0.07701612263917923,0.08838585764169693
1,"[4.054 -1.026x0 + 1.019x1x4 -0.988x3x4, 0.685]",0.01634676195681095,0.15672984719276428
2,"[3.942 -1.096x0 + 1.013x1x4 -0.965x3x4, 0.437x0]",0.09577549993991852,0.32499822974205017
3,"[4.040 -1.093x0 + 0.941x1x4 -0.984x3x4, 0.289x0]",0.15165546536445618,0.0458870604634285
4,"[3.931 -1.061x0 + 0.992x1x4 -0.977x3x4, 0.695]",0.04762876033782959,0.16302751004695892
5,"[3.918 -1.064x0 + 0.954x1x4 -0.975x3x4, 0.171x0]",0.10958172380924225,0.004837258718907833
6,"[4.045 -1.066x0 + 0.958x1x4 -0.980x3x4, 0.665]",0.08768541365861893,0.14608488976955414
7,"[3.658 -1.032x0 + 0.200x1 + 0.957x1x4 -0.947x3x4, 0.197x0]",0.10638051480054855,5.6757005950203165e-05
8,"[3.977 -1.079x0 + 0.971x1x4 -0.991x3x4, 0.634]",0.07026281207799911,0.13043585419654846
9,"[4.747 -0.966x0 -0.220x2 -0.577x4 + 0.956x1x4 + 0.119x2x4 -0.879x3x4, 0.239x0]",0.23231300711631775,0.00889735110104084
