seed,x0_equation,x0_test_drift_mse,x1_equation,x1_test_drift_mse
0,(1.23 - 0.557*x1)*(-0.0357*x0*x1 + x0),6.50792932510376,0.0818*x0 + 0.0818*x1*(x0 - 4.62),0.24622252583503723
1,0.0343*x1**2 - 0.411*(x0 + 0.249)*(x1 - 2.43),1.964141607284546,0.102*x1*(x0 - 0.249*x1 - 2.66),0.44557151198387146
2,-0.402*x0*(x1 - 2.49) + 0.0344*x1*(x1 - 4.54),1.5005699396133423,0.287*(x1 + 1.07)*(0.285*x0 - 0.0443*x1 - 0.846),0.312179297208786
3,-0.372*x0*(0.0398*x0 + x1 - 3.31),8.831086158752441,(0.0033*x0 + 0.0835*x1)*(x0 - 4.53),0.4666094481945038
4,-0.394*x0*(x1 - 2.44) + 0.021*x1**2,1.6152223348617554,0.083*x0 + 0.083*x1*(x0 - 0.141*x1 - 2.99) - 0.276,0.25691747665405273
5,-0.318*x0*(0.016*x0*x1 + x1 - 3.25),14.175630569458008,-0.35*x0*(-0.0104*x0 - 0.22*x1) - 0.35*x1,0.6843996644020081
6,x0 + x1*(-0.00575*x0**2 - 0.256*x0),11.96019458770752,0.127*x1*(-0.0368*x0*x1 + x0 - 2.44),0.6204785108566284
7,-0.595*x0*(-0.0337*x1**2 + x1 - 1.97),7.316161632537842,0.0816*x0 + 0.0816*x1*(x0 - 4.92),0.25433626770973206
8,(-0.396*x0 + 0.0156*x1)*(x1 - 2.48) + 0.342,0.9451277256011963,0.0497*x0 + 0.0918*x1*(x0 - 4.57),0.09216362982988358
9,(1.08 - 0.0319*x1)*(-0.46*x0*x1 + x0 + 0.483),4.64694356918335,(0.0809*x0 - 0.395)*(0.0473*x0 + x1 - 0.238),0.5390934944152832
