seed,x0_equation,x0_test_drift_mse,x1_equation,x1_test_drift_mse
0,-0.392*x0*(x1 - 2.64),0.1630135178565979,0.103*x1*(x0 - 3.31),0.09815549105405807
1,-0.402*x0*(x1 - 2.66),0.0829162448644638,0.0997*x1*(x0 - 3.23),0.11158029735088348
2,-0.384*x0*(x1 - 2.72),0.14969803392887115,0.101*x1*(x0 - 3.57),0.03576850891113281
3,-0.00174*x0**2 - 0.414*x0*(x1 - 2.72),0.4660080075263977,x1*(0.101*x0 - 0.0193*x1 - 0.275),0.19553543627262115
4,-0.43*(x0 - 0.191)*(x1 - 2.99),1.0592626333236694,0.104*x1*(x0 - 3.87),0.018154868856072426
5,-0.382*x0*(x1 - 2.75),0.19544658064842224,0.106*x1*(x0 - 3.83),0.03705781325697899
6,-0.391*x0*(x1 - 2.75),0.050423815846443176,0.101*x1*(x0 - 3.79),0.009263914078474045
7,-0.382*x0*(x1 - 2.86),0.3165720999240875,0.104*x1*(x0 - 3.89),0.013700418174266815
8,(-0.00235*x0**2 - 0.348*x0)*(x1 - 2.75),0.8207694888114929,0.105*x1*(x0 + 0.0471*x1 - 4.03),0.05910444259643555
9,-0.407*x0*(x1 - 2.79),0.04569896310567856,0.101*x1*(x0 - 0.204*x1 - 2.12),0.17259936034679413
