seed,equations,test_drift_mse,test_diffusion_mse
0,"[-0.393*x0*(x1 - 2.92), x1*(0.106*x0 - 0.382), 0.215*x0, 0.00954*x0 + 0.187*x1]",0.17313769459724426,0.009332404471933842
1,"[x0*(1.16 - 0.401*x1), x1*(0.113*x0 - 0.439), -0.218*x0, -0.21*x1 - 0.018]",0.15591971576213837,0.01083723921328783
2,"[x0*(1.17 - 0.401*x1), (x0 - 3.66)*(0.106*x1 + 0.00537), -0.22*x0, 0.212*x1]",0.14140167832374573,0.013696343638002872
3,"[-0.401*x0*x1 + 1.16*x0, x1*(0.117*x0 - 0.438), 0.244*x0, 0.228*x1]",0.2158811241388321,0.06434755772352219
4,"[-0.403*x0*(x1 - 2.94), 0.113*x1*(x0 - 3.61), -0.231*x0, 0.0081*x0 + 0.184*x1]",0.24961651861667633,0.03155609220266342
5,"[-0.398*x0*(x1 - 2.85), x1*(0.107*x0 - 0.394), -0.222*x0, -0.209*x1]",0.07909221202135086,0.014583760872483253
6,"[x0*(1.18 - 0.405*x1), 0.113*x0*x1 - 0.403*x1, 0.226*x0, 0.219*x1]",0.20191504061222076,0.022442379966378212
7,"[x0*(1.13 - 0.383*x1), 0.11*x1*(x0 - 3.57), -0.222*x0, 0.199*x1 + 0.00647]",0.3437170684337616,0.014297890476882458
8,"[x0*(1.15 - 0.403*x1), 0.106*x1*(x0 - 3.75), -0.231*x0, 0.00313*x0 + 0.193*x1]",0.06590629369020462,0.028182951733469963
9,"[-0.354*x0*x1 + x0, 0.124*x0*x1 - 0.36*x1, -0.258*x0, 0.013*x0*x1 + 0.125*x1]",0.9620010256767273,0.1754026710987091
