seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[1.032x**1 -0.253x**2 -0.895x**3, 1.131 + 0.279x**2]",0.2769196331501007,0.23608426749706268
1,"[0.906x**1 -0.891x**3, 1.146 + 0.272x**2]",0.10287433862686157,0.2475321739912033
2,"[0.861x**1 -0.806x**3, 1.136 + 0.354x**2 -0.070|x|]",0.34636417031288147,0.22572645545005798
3,"[-0.203 + 0.885x**1 + 0.179x**2 -0.906x**3, 1.140 + 0.285x**2]",0.12861105799674988,0.24471049010753632
4,"[-0.183 + 0.943x**1 + 0.215x**2 -0.813x**3, 1.137 + 0.295x**2]",0.4887167811393738,0.2449761927127838
5,"[1.072x**1 -0.921x**3, 1.118 + 0.310x**2]",0.11013317853212357,0.23277486860752106
6,"[1.052x**1 -0.844x**3, 1.121 + 0.287x**2]",0.34044891595840454,0.22945372760295868
7,"[0.244 + 0.906x**1 -0.811x**3, 1.136 + 0.287x**2]",0.4275588393211365,0.2422226518392563
8,"[0.480x**1 -0.736x**3, 1.171 + 0.307x**2 -0.074|x|]",0.43932196497917175,0.24055199325084686
9,"[-0.395 + 0.759x**1 -0.869x**3, 1.104 + 0.300x**2]",0.2643585801124573,0.2187824696302414
