seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[-7.996x**1 -1.652x**2 -1.440x**3, 5.155 + 0.346x**2 -0.798|x|]",116.6754379272461,14.815038681030273
1,"[0.366 -4.913x**1 -2.385x**3, 5.573 + 0.754x**2 -1.567|x|]",100.25086212158203,16.033267974853516
2,"[-3.060 -6.729x**1 -2.374x**3, 5.297 + 0.567x**2 -1.016|x|]",150.97291564941406,16.049715042114258
3,"[-2.754 -7.953x**1 + 1.639x**2 -1.246x**3, 4.881]",97.66919708251953,15.344183921813965
4,"[-2.167 -8.856x**1 + 1.409x**2 -0.504x**3, 5.447 + 0.526x**2 -1.175|x|]",80.70712280273438,15.94884967803955
5,"[1.705 -7.052x**1 -1.453x**2 -0.850x**3, 4.831]",64.80943298339844,14.962712287902832
6,"[-0.742 -7.485x**1 + 0.683x**2 -0.747x**3, 4.808]",63.68039321899414,14.782788276672363
7,"[3.565 -7.281x**1 -1.075x**2 -1.021x**3, 5.323 + 0.456x**2 -0.971|x|]",77.53115844726562,15.772174835205078
8,"[0.256 -8.484x**1 -1.803x**3, 5.219 + 0.606x**2 -1.098|x|]",137.8588104248047,15.195219993591309
9,"[-4.912 -6.629x**1 + 0.457x**2 -2.080x**3, 5.606 + 1.373x**2 -2.432|x|]",139.61477661132812,15.297783851623535
